"sourceAddress","sum(inAmount)","inAsset"
"1JHz9EDWHXH5oM146QrW8x1mgeyQdmJTcf","4555087800","BTC"
"14tsZ7ifmL6cE4yChfiQHKdUfMYe1dV1NA","5204780000","BTC"
"17p21n2UboSSH4yDwMnGf1n1pB2pwJt4fk","2150760470","BTC"
"1CvADt5ZTqWH4pY6EoQEtGk44vBFnc4mc2","1299979000","BTC"
"13bKFCWUhMSdbRg5bTuoKwUBYfagtLjXdv","1100000000","BTC"
"18v8ytUHD6ytqaNX9jrjBgXSeJ4BD8vXhr","1000160000","BTC"
"1P1eHxxfhsLM3ufQXDuYZKGdM3oBM5jrLh","1000000000","BTC"
"1BmLDMmc7XqRzjdLs2AYeMXmLHmxCx1ZGY","999980000","BTC"
"1Js1dcPWTkKw2cvpdcttHR9owHBZUtqedC","880396475","BTC"
"1AjfEvPMmhFSbXJPa6WVQzC6wF33wx8vNk","837307310","BTC"
"1DZLCCDe9XwPwZys51fraJmDQYQqTpCXjA","807104377","BTC"
"1B4k9RHp2Nd5VKYeK9rUAt2B1auR6pmyZq","699000000","BTC"
"1Q7FQp2MuejVS5DhKkeRJ46AwBALtLphgG","694970000","BTC"
"1QKR8aRAvG9dWcShU5fakUgWRZA5PdJwUV","528000000","BTC"
"1MYv4wBzQuaFsAzpaEwAnKxKYn2kWK6xcg","668872231","BTC"
"138mCxnHYFhUyMdABm7ysCoRyKpmVCnQaY","500000000","BTC"
"15SCtvDcqnWVccToVHDHfUERwq5tYmHSzf","500000000","BTC"
"18yAu4AiEJ7tDm8N2Y3uqyKc7XKmtKXP8K","500000000","BTC"
"1AViqW66xhnxkdRjCknQGYvf1k3mj5aGM5","500000000","BTC"
"1KSLbicXuMPTiRC1CcQmNwq9Zw99tdtD7d","1499975600","BTC"
"16xerTRfCZVJpuRQFByPj9ekGw4trtSPDp","499990000","BTC"
"12EUmu9vSXZR9hdW1R6CUP4iPUdAKy7gBu","999960000","BTC"
"1E4kB1Tuv3k71amTJWvgfsMM54ioefatk9","499980000","BTC"
"1NQdz8hVLweSeFuW7uJKe8P5acB2aVbNJz","499980000","BTC"
"1PfjN2yNXTbboSQLaBTbqMBPtog56Bw9xU","499980000","BTC"
"19r1Kj26DEsS9df3nvVjqghxr6JqJ112m4","503970000","BTC"
